******************************************************************
*    One-Year Scenario of Activities - Elderly in the SMAF Profile: P1  *
*    Coded version - 28/03/2015		                                   * 
*    Format : 										   *
*    <starting time> <end time> <action/activity code>		   *
*												   *
*    eHealth Monitoring Open Data Project					   *
*    https://sourceforge.net/projects/ehealthmonitoringproject/     *
5998205 5998365 5
5998471 5998901 7
5998964 5999318 4
5999417 5999752 15
5999856 6001485 1
6001628 6002032 7
6002105 6002301 4
6002365 6008819 33
6008887 6011626 16
6011787 6012039 34
6012124 6014910 1
6015030 6015215 18
6015301 6023182 24
6023267 6025892 19
6026002 6028382 16
6028382 6031982 1
6032108 6032314 4
6032402 6032908 13
6032987 6033299 2
6033423 6044042 33
6044109 6044435 2
6044540 6071830 24
6071979 6072375 7
6072462 6079903 24
6080155 6080923 3
6081015 6081137 5
6081248 6081616 13
6081729 6082057 2
6082131 6082331 4
6082405 6082852 7
6082947 6083169 4
6083266 6083854 15
6083925 6085192 1
6085365 6085656 4
6085749 6087903 19
6087986 6090096 16
6090266 6090581 34
6090672 6091016 4
6091083 6093521 1
6093677 6093840 18
6093937 6094970 17
6095057 6095461 13
6095548 6095768 4
6095873 6096630 17
6096749 6098679 19
6098750 6107686 24
6107798 6108144 13
6108214 6108610 7
6108680 6108905 4
6108982 6109942 17
6110019 6115963 19
6116045 6116280 34
6116369 6117042 12
6117134 6120251 35
6120354 6120865 7
6120930 6121221 4
6121338 6121739 13
6121827 6122579 17
6122666 6122992 13
6123064 6125025 35
6125085 6128685 1
6128764 6129182 2
6129247 6150860 24
6150995 6151347 7
6151460 6164099 24
6164314 6165182 3
6165291 6165484 5
6165567 6165916 7
6165981 6166330 4
6166441 6166855 2
6166933 6167128 4
6167244 6167707 13
6167823 6168106 4
6168166 6168651 15
6168736 6170474 1
6170592 6171074 7
6171189 6171450 4
6171523 6174332 19
6174395 6176721 16
6176792 6177175 7
6177268 6177548 4
6177608 6177964 13
6178025 6179795 19
6179870 6182716 1
6182861 6183088 18
6183181 6183444 34
6183524 6183779 4
6183880 6185303 19
6185381 6193850 24
6193973 6194200 4
6194318 6194863 13
6194977 6195936 17
6196022 6199200 19
6199271 6199829 2
6199912 6200462 6
6200636 6209490 33
6209566 6209840 4
6209923 6211803 16
6211894 6212226 34
6212327 6213082 12
6213165 6213351 4
6213459 6217429 19
6217490 6217885 2
6218001 6238532 24
6238681 6239254 7
6239346 6253235 24
6253461 6254215 3
6254371 6254914 2
6255025 6255396 13
6255496 6255692 4
6255754 6256062 7
6256164 6256403 4
6256475 6256845 15
6256913 6258315 1
6258403 6258970 7
6259036 6259287 4
6259400 6261283 19
6261352 6264869 16
6264932 6266166 19
6266248 6266431 34
6266548 6270026 1
6270026 6270297 4
6270410 6270836 13
6270928 6271260 34
6271359 6271938 7
6272012 6272319 4
6272422 6272643 18
6272711 6280741 24
6280875 6281268 7
6281375 6281715 4
6281788 6282147 13
6282219 6288161 19
6288257 6290345 16
6290345 6293945 1
6294065 6295120 17
6295207 6296099 12
6296171 6296437 4
6296531 6297280 17
6297374 6297912 2
6298016 6301982 19
6302063 6302555 2
6302673 6324499 24
6324669 6325157 7
6325259 6325535 4
6325628 6338062 24
6338323 6338570 4
6338676 6339001 15
6339113 6340709 1
6340885 6341072 4
6341174 6344526 35
6344627 6345182 7
6345249 6345438 4
6345503 6348690 19
6348767 6350736 16
6350821 6352826 19
6352939 6353139 18
6353257 6353572 34
6353689 6353908 4
6354027 6356757 1
6356926 6357173 34
6357246 6357593 7
6357712 6357989 4
6358069 6366481 24
6366549 6366987 7
6367083 6367373 4
6367483 6367835 13
6367908 6368184 4
6368251 6368593 7
6368676 6371594 19
6371668 6372167 13
6372278 6373402 17
6373511 6375449 35
6375515 6376026 2
6376107 6376649 6
6376677 6376907 4
6376991 6379364 16
6379364 6382964 1
6383141 6383725 13
6383807 6384208 7
6384319 6384511 4
6384592 6385111 7
6385213 6385421 4
6385515 6388165 35
6388237 6388562 2
6388644 6414523 24
6414657 6415163 7
6415270 6424186 24
6424389 6425096 3
6425254 6425756 13
6425854 6426298 7
6426401 6426672 4
6426751 6427252 2
6427405 6427636 4
6427732 6428142 15
6428216 6429824 1
6429954 6430232 4
6430341 6433058 11
6433170 6434996 10
6435072 6438095 16
6438166 6439933 19
6440049 6440749 17
6440825 6441108 34
6441199 6443145 1
6443305 6443428 18
6443542 6445282 19
6445368 6453919 24
6454052 6454562 7
6454649 6454838 4
6454916 6456808 19
6456880 6459590 16
6459590 6463190 1
6463336 6463575 34
6463687 6464032 4
6464100 6469115 19
6469179 6469660 2
6469746 6470070 6
6470197 6480987 33
6481068 6481508 2
6481613 6509913 24
6510129 6510902 3
6510990 6511349 5
6511430 6511952 7
6512017 6512233 4
6512333 6512815 13
6512893 6513116 4
6513185 6513782 2
6513874 6514182 4
6514299 6514835 15
6514952 6516219 1
6516385 6517396 17
6517492 6519536 19
6519617 6520120 14
6520190 6522581 16
6522663 6522922 4
6522998 6526400 1
6526400 6526741 4
6526811 6527096 34
6527203 6529550 19
6529614 6529835 4
6529953 6530100 18
6530217 6530431 34
6530510 6539263 24
6539344 6539861 7
6539948 6540210 4
6540270 6540841 13
6540952 6541218 4
6541287 6543771 19
6543886 6546302 16
6546302 6549902 1
6550027 6550453 13
6550521 6551531 17
6551642 6561006 33
6561090 6561608 2
6561724 6578844 24
6579019 6579536 7
6579638 6596883 24
6597127 6597312 4
6597390 6597796 13
6597883 6598438 7
6598549 6599312 3
6599413 6599720 5
6599782 6600370 2
6600543 6600879 4
6600998 6601527 15
6601631 6603231 1
6603402 6603866 7
6603927 6604212 4
6604317 6604682 2
6604759 6605099 6
6605172 6611568 33
6611630 6613605 16
6613703 6614018 4
6614092 6616914 1
6617050 6617191 18
6617274 6624621 24
6624769 6625265 7
6625366 6625566 4
6625662 6626066 13
6626133 6627232 17
6627341 6627678 7
6627748 6632035 19
6632118 6632737 12
6632856 6633182 4
6633290 6635910 16
6635910 6639510 1
6639667 6640344 17
6640414 6640634 34
6640722 6640921 4
6641035 6644987 19
6645075 6645632 2
6645718 6646170 2
6646244 6674619 24
6674746 6675139 7
6675216 6675504 4
6675619 6681989 24
6682180 6682866 3
6682942 6683064 5
6683142 6683715 13
6683795 6684392 2
6684505 6684900 7
6684990 6685349 4
6685466 6685920 15
6685980 6687476 1
6687554 6688112 7
6688204 6688385 4
6688477 6691079 19
6691149 6691842 17
6691961 6694274 35
6694354 6697606 16
6697744 6697937 34
6698005 6698331 4
6698445 6698658 34
6698726 6698851 18
6698919 6700382 19
6700461 6701362 17
6701450 6701906 13
6701989 6704216 19
6704328 6704754 7
6704857 6705054 4
6705168 6708001 1
6708081 6715422 24
6715493 6719201 19
6719291 6719721 2
6719793 6720170 6
6720201 6720416 4
6720477 6720835 13
6720931 6723360 19
6723445 6723758 2
6723931 6734411 33
6734477 6734965 2
6735072 6749594 24
6749734 6750065 7
6750171 6750373 4
6750453 6770678 24
6770934 6771810 3
6771932 6772448 13
6772532 6773080 2
6773175 6773410 4
6773486 6773999 7
6774093 6774332 4
6774424 6774990 15
6775069 6776429 1
6776594 6776950 4
6777061 6780400 19
6780477 6782733 16
6782826 6783014 4
6783122 6785810 1
6785947 6786165 18
6786249 6786916 17
6786976 6787201 34
6787298 6787554 4
6787616 6788050 13
6788158 6789271 17
6789349 6789691 34
6789754 6797665 24
6797743 6798063 7
6798129 6798380 4
6798474 6799413 17
6799510 6800085 13
6800148 6800455 4
6800520 6805944 19
6806006 6806558 2
6806684 6814635 33
6814807 6816740 19
6816837 6817278 6
6817371 6818246 17
6818325 6820490 35
6820567 6821012 2
6821096 6842736 24
6842862 6843222 7
6843323 6856545 24
6856749 6856963 4
6857057 6857520 13
6857582 6858579 3
6858678 6859034 5
6859122 6859453 7
6859517 6859861 4
6859980 6860554 2
6860617 6860922 4
6861022 6861487 15
6861566 6863180 1
6863304 6863649 4
6863754 6864289 13
6864350 6866180 19
6866250 6869347 16
6869495 6869685 34
6869765 6872112 1
6872290 6872479 18
6872594 6872905 7
6873005 6873353 4
6873423 6873604 34
6873698 6874014 4
6874106 6874984 17
6875061 6875459 7
6875533 6875830 4
6875910 6876917 17
6876980 6885188 24
6885278 6885561 4
6885649 6886037 7
6886128 6886398 4
6886487 6887033 7
6887113 6889961 19
6890078 6893510 35
6893609 6894155 7
6894258 6894588 4
6894681 6898209 16
6898209 6901809 1
6901937 6902333 7
6902444 6902657 4
6902718 6908826 19
6908894 6909302 2
6909396 6935058 24
6935204 6935605 7
6935707 6944261 24
6944454 6945354 3
6945455 6945618 5
6945731 6946240 15
6946352 6948097 1
6948251 6950786 19
6950879 6951311 7
6951384 6951679 4
6951768 6954823 16
6954999 6955349 34
6955420 6958700 1
6958700 6959048 4
6959149 6959450 34
6959544 6960326 17
6960433 6962798 19
6962859 6963613 17
6963687 6964204 7
6964320 6964598 4
6964671 6964986 13
6965098 6965431 7
6965515 6965657 18
6965734 6973676 24
6973760 6975976 19
6976087 6976423 2
6976580 6984729 33
6984881 6985370 7
6985473 6985661 4
6985745 6986444 17
6986558 6986890 34
6986975 6987442 7
6987545 6987792 4
6987854 6990348 16
6990410 6990639 34
6990721 6990941 4
6991049 6991584 13
6991664 6992071 2
6992134 7018959 24
7019120 7019592 7
7019681 7027667 24
7027899 7028098 4
7028203 7028697 13
7028793 7029106 4
7029175 7029571 2
7029714 7030059 4
7030161 7030696 7
7030811 7031464 3
7031561 7031848 5
7031933 7032313 15
7032393 7034066 1
7034231 7034802 7
7034921 7035187 4
7035251 7038068 11
7038169 7039713 10
7039786 7042247 16
7042316 7042750 7
7042815 7042980 18
7043089 7043414 4
7043514 7045867 19
7045980 7046296 13
7046368 7046652 4
7046717 7048937 19
7049029 7049218 34
7049288 7050365 17
7050464 7051026 7
7051138 7051473 4
7051573 7052732 17
7052840 7053177 4
7053243 7055212 1
7055278 7063274 24
7063344 7068623 19
7068703 7071974 16
7071974 7075574 1
7075724 7076032 4
7076127 7077314 17
7077420 7077759 34
7077829 7078346 2
7078450 7100932 24
7101056 7101506 7
7101597 7113771 24
7114007 7115007 3
7115073 7115387 5
7115469 7115863 2
7115954 7116185 4
7116253 7116589 7
7116706 7116941 4
7117034 7117515 13
7117592 7117889 4
7117996 7118506 15
7118588 7120286 1
7120445 7120754 14
7120861 7123250 35
7123338 7123810 7
7123885 7124211 4
7124314 7127592 19
7127662 7130341 16
7130518 7130725 34
7130823 7132121 19
7132199 7132634 7
7132708 7133060 4
7133173 7135485 19
7135549 7135892 34
7135953 7136698 17
7136785 7137106 13
7137189 7138808 19
7138914 7142461 1
7142607 7142832 18
7142895 7151821 24
7151897 7155467 19
7155570 7155927 13
7156024 7156670 12
7156743 7160120 35
7160208 7160779 2
7160841 7161224 13
7161297 7166748 19
7166820 7170395 16
7170395 7173995 1
7174066 7174463 2
7174539 7201868 24
7202096 7202375 4
7202446 7202781 2
7202923 7203117 4
7203226 7203795 13
7203857 7204209 4
7204309 7204626 7
7204754 7205541 3
7205607 7205884 5
7205985 7206418 15
7206497 7208017 1
7208190 7208397 4
7208501 7209019 13
7209121 7215497 33
7215561 7218163 16
7218265 7218540 4
7218629 7220507 1
7220639 7220913 34
7220976 7221232 4
7221310 7221871 7
7221971 7222324 4
7222440 7224495 19
7224576 7224917 4
7224993 7225670 17
7225778 7227295 19
7227381 7227608 18
7227691 7235368 24
7235434 7239264 19
7239339 7242541 16
7242541 7246141 1
7246286 7246523 34
7246632 7246893 4
7246980 7248905 35
7249022 7249507 13
7249601 7252369 35
7252429 7252816 2
7252928 7277594 24
7277759 7278078 7
7278139 7278382 4
7278477 7288725 24
7288937 7289148 4
7289221 7289687 7
7289752 7290101 4
7290220 7290736 2
7290814 7291398 13
7291459 7291693 4
7291770 7292687 3
7292765 7292889 5
7293006 7293307 15
7293382 7294634 1
7294808 7295564 17
7295648 7298687 19
7298747 7302060 16
7302136 7304353 19
7304422 7304931 7
7305002 7305249 4
7305334 7306113 17
7306193 7306427 18
7306542 7306888 4
7306950 7309706 1
7309788 7318236 24
7318335 7318809 7
7318896 7325503 19
7325579 7326079 7
7326177 7326458 4
7326541 7331406 19
7331495 7331802 2
7331877 7332420 6
7332593 7340169 33
7340257 7340669 2
7340730 7360405 24
7360551 7360856 7
7360932 7376238 24
7376459 7376815 4
7376921 7378020 3
7378149 7378600 7
7378683 7379028 4
7379092 7379519 13
7379604 7379974 2
7380048 7380399 4
7380473 7380855 15
7380937 7382461 1
7382527 7382973 7
7383065 7383382 4
7383452 7384170 17
7384231 7386915 16
7387008 7387254 4
7387332 7389797 1
7389969 7390166 18
7390275 7392447 19
7392510 7392817 7
7392931 7393326 13
7393425 7395613 19
7395699 7403398 24
7403531 7403739 4
7403822 7404403 7
7404489 7404760 4
7404858 7405164 13
7405244 7406057 17
7406125 7411585 19
7411699 7412384 12
7412462 7413046 7
7413141 7413399 4
7413496 7414313 17
7414418 7421613 19
7421685 7424865 16
7424944 7425257 34
7425343 7426365 17
7426429 7426643 34
7426755 7430355 1
7430418 7430845 2
7430917 7447396 24
7447564 7447898 7
7448009 7466120 24
7466376 7466676 4
7466742 7467334 7
7467415 7467626 4
7467731 7468091 13
7468177 7469040 3
7469107 7469360 5
7469459 7469960 2
7470051 7470272 4
7470374 7470832 15
7470905 7472588 1
7472660 7474645 16
7474802 7475094 34
7475195 7477760 1
7477918 7478263 34
7478372 7478620 4
7478708 7481014 19
7481081 7481954 17
7482062 7482520 7
7482607 7482960 4
7483077 7483631 7
7483742 7484092 4
7484167 7485687 19
7485757 7486069 4
7486189 7487284 17
7487374 7487744 13
7487840 7489657 19
7489734 7489914 18
7489977 7497767 24
7497847 7504382 19
7504491 7507152 16
7507152 7510752 1
7510823 7511307 2
7511422 7530446 24
7530578 7530969 7
7531071 7546397 24
7546602 7546918 4
7546991 7547692 3
7547789 7548095 5
7548173 7548650 2
7548732 7549303 7
7549413 7549768 4
7549861 7550386 13
7550455 7550786 4
7550871 7551194 15
7551314 7552843 1
7552912 7553403 7
7553480 7553778 4
7553869 7556038 35
7556139 7557012 17
7557075 7560658 16
7560762 7561048 4
7561132 7561404 34
7561488 7561836 7
7561932 7562260 4
7562341 7562521 34
7562609 7566186 1
7566186 7566397 4
7566495 7568759 19
7568848 7568976 18
7569052 7576983 24
7577159 7577748 7
7577839 7578149 4
7578213 7581022 19
7581137 7581461 6
7581592 7591733 33
7591841 7592168 4
7592283 7597902 19
7597966 7598458 2
7598523 7623648 24
7623768 7624074 7
7624169 7633286 24
7633466 7634163 3
7634256 7634580 5
7634643 7635242 2
7635370 7635807 7
7635912 7636153 4
7636269 7636622 13
7636700 7636906 4
7637010 7637396 15
7637501 7638971 1
7639148 7639415 4
7639478 7641435 10
7641539 7644201 11
7644282 7647244 16
7647337 7647661 4
7647779 7648277 13
7648364 7648740 7
7648831 7649031 4
7649120 7649383 34
7649499 7649738 4
7649844 7651797 1
7651965 7652151 18
7652230 7653906 19
7653980 7661655 24
7661774 7662262 7
7662373 7662697 4
7662809 7663258 13
7663322 7664375 17
7664448 7664951 7
7665031 7670907 19
7671004 7674262 16
7674262 7677862 1
7678009 7678211 34
7678330 7679062 12
7679122 7682419 19
7682492 7682804 2
7682867 7706704 24
7706876 7707235 7
7707301 7718488 24
7718678 7718965 4
7719053 7719649 2
7719766 7720205 7
7720285 7721418 3
7721529 7721718 5
7721808 7722351 13
7722413 7722613 4
7722678 7723096 15
7723195 7724691 1
7724813 7725066 4
7725183 7725956 17
7726056 7727874 19
7727962 7728615 17
7728697 7729281 14
7729348 7732576 16
7732750 7732971 34
7733032 7735584 1
7735754 7735949 34
7736018 7738149 19
7738253 7738787 13
7738865 7741140 19
7741207 7741615 7
7741717 7742058 4
7742123 7743582 19
7743682 7744219 7
7744312 7744581 4
7744693 7744822 18
7744899 7752722 24
7752787 7759057 19
7759166 7761581 16
7761581 7765181 1
7765305 7765631 34
7765737 7766632 17
7766714 7767358 12
7767456 7767717 4
7767819 7768781 17
7768869 7769256 7
7769345 7769669 2
7769734 7796415 24
7796549 7796993 7
7797077 7797273 4
7797380 7805516 24
7805757 7806085 4
7806192 7806632 13
7806708 7807348 3
7807436 7807592 5
7807676 7808144 2
7808286 7808622 7
7808696 7808931 4
7809030 7809377 15
7809494 7810757 1
7810923 7811385 7
7811487 7811717 4
7811829 7812306 7
7812422 7812773 4
7812834 7813228 14
7813298 7820254 33
7820334 7822331 16
7822463 7822741 34
7822836 7825420 1
7825596 7825813 18
7825891 7827159 19
7827221 7835631 24
7835749 7836218 7
7836326 7836526 4
7836590 7837150 13
7837263 7838627 17
7838708 7842655 19
7842732 7844760 16
7844760 7848360 1
7848530 7855296 19
7855359 7855937 2
7856012 7876169 24
7876346 7876698 7
7876783 7891397 24
7891623 7891893 4
7891989 7892315 2
7892397 7892766 7
7892869 7893100 4
7893182 7894163 3
7894255 7894383 5
7894467 7894806 13
7894906 7895136 4
7895212 7895557 15
7895627 7897306 1
7897431 7898026 14
7898103 7900388 35
7900460 7901415 17
7901485 7901850 7
7901957 7902195 4
7902272 7905196 16
7905316 7905625 4
7905706 7906064 13
7906128 7906663 7
7906735 7906927 4
7907000 7907147 18
7907250 7908725 19
7908820 7909269 7
7909334 7909571 4
7909637 7911942 1
7912088 7912305 34
7912424 7912695 4
7912810 7913083 34
7913154 7921498 24
7921599 7922139 7
7922210 7922547 4
7922656 7923095 7
7923180 7923415 4
7923493 7923884 13
7923969 7928457 19
7928557 7930713 16
7930713 7934313 1
7934434 7934707 34
7934823 7935172 4
7935250 7935552 13
7935642 7935967 2
7936066 7936645 6
7936785 7944083 33
7944150 7944643 2
7944720 7964365 24
7964535 7965050 7
7965123 7979873 24
7980105 7981011 3
7981073 7981295 5
7981377 7981728 7
7981827 7982126 4
7982220 7982753 2
7982871 7983175 13
7983270 7983524 4
7983605 7984177 15
7984253 7985606 1
7985760 7985975 4
7986053 7986422 13
7986511 7989983 19
7990056 7992956 16
7993018 7993222 4
7993311 7995851 1
7996006 7996225 34
7996340 7997327 17
7997444 7997928 7
7997999 7998343 4
7998457 7998619 18
7998689 7999243 13
7999309 8006510 24
8006687 8008238 17
8008307 8008534 4
8008651 8009087 13
8009148 8009347 4
8009416 8010857 17
8010936 8013860 19
8013968 8014800 12
8014891 8015645 17
8015715 8016172 6
8016286 8017306 17
8017398 8019693 35
8019772 8020182 2
8020251 8023549 35
8023664 8024106 2
8024171 8027058 35
8027136 8031557 19
8031647 8034861 16
8034861 8038461 1
8038536 8038977 2
8039069 8065239 24
8065448 8065680 4
8065747 8066229 2
8066311 8066539 4
8066622 8067124 13
8067189 8067993 3
8068061 8068413 5
8068484 8068961 7
8069045 8069340 4
8069447 8069796 15
8069876 8071436 1
8071608 8071926 13
8072011 8074556 19
8074646 8075239 7
8075313 8078870 16
8078963 8079301 4
8079365 8082234 1
8082372 8082520 18
8082582 8084321 19
8084404 8084590 4
8084678 8085000 34
8085118 8085446 7
8085537 8085718 4
8085806 8093819 24
8093907 8094948 17
8095009 8095202 4
8095296 8095667 13
8095781 8096276 7
8096375 8096692 4
8096762 8101522 19
8101591 8105039 16
8105039 8108639 1
8108780 8109119 34
8109190 8109467 4
8109585 8109990 2
8110101 8110503 6
8110655 8118098 33
8118167 8118615 2
8118735 8142285 24
8142421 8142781 7
8142872 8154079 24
8154320 8154617 4
8154682 8155126 13
8155169 8155633 7
8155717 8156815 3
8156938 8157512 2
8157603 8157886 4
8157986 8158427 15
8158518 8160050 1
8160192 8160507 4
8160603 8162936 19
8163016 8165536 16
8165635 8166142 7
8166215 8166567 4
8166655 8169321 1
8169448 8169650 18
8169719 8169979 34
8170096 8170359 4
8170449 8170770 34
8170852 8171044 4
8171131 8171476 13
8171582 8171794 4
8171892 8172258 7
8172331 8180808 24
8180935 8181214 4
8181301 8181702 7
8181788 8182037 4
8182139 8182511 13
8182583 8183014 7
8183094 8185949 19
8186013 8187868 16
8187970 8188321 34
8188439 8189069 12
8189161 8192436 35
8192549 8193637 17
8193706 8194235 2
8194349 8196499 35
8196587 8200187 1
8200347 8200608 4
8200705 8201559 17
8201633 8202214 2
8202310 8229374 24
8229540 8229946 7
8230055 8237663 24
8237854 8238893 3
8239027 8239484 2
8239629 8240117 13
8240216 8240605 7
8240686 8240971 4
8241074 8241515 15
8241606 8243224 1
8243349 8243641 4
8243726 8245574 10
8245668 8245998 4
8246066 8248559 11
8248644 8251799 16
8251946 8252253 34
8252337 8252681 4
8252755 8254633 19
8254750 8255055 13
8255173 8256282 17
8256344 8259780 1
8259951 8260109 18
8260185 8267737 24
8267911 8268187 4
8268274 8268799 13
8268915 8269333 7
8269398 8275769 19
8275880 8276433 2
8276539 8277093 6
8277247 8286309 33
8286424 8286677 4
8286766 8289302 35
8289383 8289935 2
8290047 8313328 24
8313487 8313823 7
8313889 8314171 4
8314286 8325997 24
8326211 8327078 3
8327233 8327537 2
8327620 8327826 4
8327905 8328320 13
8328404 8328626 4
8328710 8329170 7
8329265 8329464 4
8329551 8329868 15
8329942 8331322 1
8331447 8331729 4
8331791 8332283 13
8332354 8335392 19
8335461 8338029 16
8338126 8338447 4
8338546 8339023 7
8339086 8339291 4
8339396 8341943 1
8342107 8342307 18
8342400 8343902 19
8344019 8344326 7
8344439 8344724 4
8344827 8345654 17
8345719 8353203 24
8353267 8353785 7
8353872 8354104 4
8354194 8354604 13
8354672 8356168 17
8356247 8362949 19
8363016 8366383 16
8366383 8369983 1
8370120 8370615 13
8370734 8376168 19
8376248 8376785 2
8376860 8398602 24
8398782 8399265 7
8399379 8412546 24
8412741 8413594 3
8413726 8414123 2
8414267 8414540 4
8414611 8415052 7
8415168 8415506 4
8415603 8415974 13
8416042 8416261 4
8416363 8416722 15
8416800 8418314 1
8418434 8418967 7
8419039 8419362 4
8419472 8420071 2
8420185 8420644 7
8420729 8420912 4
8420994 8426415 33
8426490 8429088 16
8429238 8429438 34
8429554 8430111 7
8430176 8430469 4
8430531 8432913 1
8433068 8433269 18
8433353 8441237 24
8441349 8441670 4
8441774 8442104 13
8442169 8448965 19
8449072 8452451 16
8452451 8452704 4
8452810 8453393 2
8453475 8453857 6
8454035 8461601 33
8461677 8462069 2
8462154 8481223 24
8481354 8481718 7
8481833 8497594 24
8497828 8498499 3
8498595 8498794 5
8498884 8499437 7
8499528 8499767 4
8499886 8500412 2
8500523 8500793 4
8500869 8501285 13
8501399 8501639 4
8501744 8502200 15
8502276 8504054 1
8504201 8504477 4
8504562 8508000 19
8508064 8511434 16
8511520 8512202 17
8512284 8514115 1
8514243 8514464 18
8514536 8514849 34
8514919 8515110 4
8515179 8515589 7
8515649 8515975 4
8516061 8517700 19
8517771 8525489 24
8525666 8526030 13
8526116 8526540 7
8526630 8526851 4
8526920 8527544 17
8527661 8528180 7
8528249 8528607 4
8528693 8534130 19
8534244 8534624 6
8534769 8542277 33
8542446 8543605 17
8543724 8544213 13
8544290 8544619 4
8544736 8546836 35
8546901 8547485 2
8547578 8571289 24
8571458 8572032 7
8572111 8583000 24
8583234 8583524 4
8583612 8584150 7
8584265 8585316 3
8585420 8585743 5
8585840 8586143 2
8586254 8586515 4
8586602 8587170 13
8587257 8587440 4
8587543 8588105 15
8588193 8589473 1
8589622 8589969 4
8590048 8590795 17
8590876 8594240 35
8594328 8596735 16
8596827 8597115 4
8597182 8597652 7
8597728 8598085 4
8598160 8601672 1
8601823 8602085 34
8602199 8602459 4
8602553 8602686 18
8602766 8603144 13
8603239 8605464 19
8605525 8614046 24
8614200 8614703 7
8614778 8615134 4
8615217 8621595 19
8621696 8622426 12
8622527 8623111 13
8623198 8623527 7
8623636 8623890 4
8623955 8625966 16
8626065 8626360 34
8626460 8630060 1
8630232 8636828 19
8636917 8637486 2
8637555 8663669 24
8663837 8664320 7
8664436 8664736 4
8664811 8672984 24
8673229 8673965 3
8674053 8674308 5
8674409 8674731 2
8674795 8675179 13
8675238 8675821 7
8675889 8676218 4
8676318 8676684 15
8676765 8677991 1
8678126 8678747 17
8678822 8679236 7
8679298 8679546 4
8679608 8680171 13
8680260 8683105 16
8683220 8683515 4
8683628 8685751 1
8685926 8686248 34
8686345 8686915 13
8686989 8687339 4
8687429 8689244 19
8689315 8689661 4
8689754 8690046 34
8690124 8690466 4
8690564 8691216 17
8691295 8691549 4
8691659 8692683 17
8692787 8694002 19
8694065 8694231 18
8694307 8702997 24
8703085 8707797 19
8707888 8708470 13
8708540 8714518 19
8714621 8717655 16
8717655 8721255 1
8721315 8721891 2
8721965 8741627 24
8741774 8742246 7
8742344 8757682 24
8757902 8758700 3
8758806 8759067 5
8759135 8759731 13
8759788 8760113 7
8760183 8760373 4
8760455 8760994 2
8761087 8761340 4
8761438 8761830 15
8761946 8763186 1
8763354 8763678 13
8763779 8765731 19
8765798 8768866 35
8768950 8771688 16
8771803 8772392 7
8772470 8772827 4
8772892 8775339 1
8775497 8775667 18
8775756 8776778 17
8776856 8777133 34
8777213 8785880 24
8786033 8786591 7
8786662 8786905 4
8786988 8788200 17
8788272 8791626 19
8791730 8794375 16
8794375 8797975 1
8798132 8798490 13
8798595 8799136 7
8799217 8799493 4
8799552 8799985 6
8800146 8809042 33
8809125 8809512 2
8809614 8832496 24
8832621 8832988 7
8833060 8833246 4
8833313 8845308 24
8845532 8845749 4
8845842 8846418 13
8846527 8847497 3
8847616 8847739 5
8847819 8848193 7
8848263 8848613 4
8848678 8849268 2
8849425 8849633 4
8849746 8850330 15
8850391 8851868 1
8852041 8852379 13
8852456 8853930 10
8854018 8856859 11
8856947 8860491 16
8860561 8860823 4
8860899 8864482 1
8864653 8864812 18
8864879 8873387 24
8873518 8873821 4
8873928 8874703 17
8874786 8878786 19
8878900 8879637 12
8879718 8881790 19
8881860 8882350 2
8882517 8891592 33
8891748 8895374 19
8895458 8896027 2
8896147 8922510 24
8922677 8923272 7
8923358 8931569 24
8931827 8932090 4
8932197 8932774 13
8932893 8934045 3
8934130 8934409 5
8934479 8935066 7
8935182 8935458 4
8935547 8935928 2
8936045 8936304 4
8936378 8936977 15
8937047 8938724 1
8938874 8939088 4
8939168 8942366 16
8942428 8942710 4
8942815 8943321 13
8943407 8945715 19
8945807 8946277 7
8946395 8946664 4
8946754 8948810 19
8948923 8949446 7
8949562 8949746 4
8949815 8949944 18
8950037 8950310 34
8950374 8952549 1
8952619 8960847 24
8960932 8967851 19
8967965 8971210 16
8971210 8974810 1
8974932 8975253 34
8975345 8975985 12
8976103 8976376 4
8976455 8977033 2
8977203 8987742 33
8987825 8988339 2
8988422 9016332 24
9016562 9016756 4
9016861 9017328 2
9017460 9018044 7
9018197 9019126 3
9019211 9019501 5
9019564 9020101 13
9020198 9020399 4
9020498 9020816 15
9020899 9022403 1
9022540 9023487 17
9023603 9026378 35
9026492 9033569 33
9033637 9036762 16
9036869 9037053 4
9037128 9039433 1
9039573 9039777 18
9039846 9048662 24
9048740 9051649 19
9051744 9053798 35
9053879 9054350 2
9054498 9062762 33
9062941 9063376 13
9063476 9066145 19
9066226 9066699 2
9066761 9084690 24
9084825 9085265 7
9085344 9085557 4
9085630 9102077 24
9102288 9103383 3
9103495 9103761 5
9103823 9104254 13
9104334 9104784 2
9104855 9105347 7
9105442 9105741 4
9105835 9106247 15
9106345 9107815 1
9107950 9108494 13
9108598 9111385 19
9111498 9111863 14
9111941 9114135 16
9114239 9116251 19
9116326 9116688 13
9116794 9118677 19
9118763 9119079 34
9119186 9121719 1
9121892 9122018 18
9122105 9123958 19
9124032 9131456 24
9131569 9131926 7
9132000 9132205 4
9132311 9132823 7
9132916 9133102 4
9133220 9133769 13
9133841 9140023 19
9140132 9140370 34
9140437 9141285 12
9141361 9141690 7
9141758 9141972 4
9142049 9147474 19
9147564 9147883 2
9147976 9148527 7
9148626 9148982 4
9149081 9150959 16
9150959 9154559 1
9154646 9154992 2
