*****************************************************************************************************
*    One-Year Scenario of Activities - Elderly with dependency level changes:   					*
*    P1 for months 1-2-3 ; P3 for months 4-5-6 ; P6 for months 7-8-9 and P8/P9 for months 10-11-12	*
*    Coded version - 28/03/2015   	                                   		         					* 
*    Format : 										                 					*
*    <starting time> <end time> <action/activity code>		                 					*
*												                 					*
*    eHealth Monitoring Open Data Project					                 					*
*    https://sourceforge.net/projects/ehealthmonitoringproject/                   					*
6540270 6540841 13
6540952 6541218 4
6541287 6543771 19
6543886 6546302 16
6546302 6549902 1
6550027 6550453 13
6550521 6551531 17
6551642 6561006 33
6561090 6561608 2
6561724 6578844 24
6579019 6579536 7
6579638 6596883 24
6597127 6597312 4
6597390 6597796 13
6597883 6598438 7
6598549 6599312 3
6599413 6599720 5
6599782 6600370 2
6600543 6600879 4
6600998 6601527 15
6601631 6603231 1
6603402 6603866 7
6603927 6604212 4
6604317 6604682 2
6604759 6605099 6
6605172 6611568 33
6611630 6613605 16
6613703 6614018 4
6614092 6616914 1
6617050 6617191 18
6617274 6624621 24
6624769 6625265 7
6625366 6625566 4
6625662 6626066 13
6626133 6627232 17
6627341 6627678 7
6627748 6632035 19
6632118 6632737 12
6632856 6633182 4
6633290 6635910 16
6635910 6639510 1
6639667 6640344 17
6640414 6640634 34
6640722 6640921 4
6641035 6644987 19
6645075 6645632 2
6645718 6646170 2
6646244 6674619 24
6674746 6675139 7
6675216 6675504 4
6675619 6681989 24
6682180 6682866 3
6682942 6683064 5
6683142 6683715 13
6683795 6684392 2
6684505 6684900 7
6684990 6685349 4
6685466 6685920 15
6685980 6687476 1
6687554 6688112 7
6688204 6688385 4
6688477 6691079 19
6691149 6691842 17
6691961 6694274 35
6694354 6697606 16
6697744 6697937 34
6698005 6698331 4
6698445 6698658 34
6698726 6698851 18
6698919 6700382 19
6700461 6701362 17
6701450 6701906 13
6701989 6704216 19
6704328 6704754 7
6704857 6705054 4
6705168 6708001 1
6708081 6715422 24
6715493 6719201 19
6719291 6719721 2
6719793 6720170 6
6720201 6720416 4
6720477 6720835 13
6720931 6723360 19
6723445 6723758 2
6723931 6734411 33
6734477 6734965 2
6735072 6749594 24
6749734 6750065 7
6750171 6750373 4
6750453 6770678 24
6770934 6771810 3
6771932 6772448 13
6772532 6773080 2
6773175 6773410 4
6773486 6773999 7
6774093 6774332 4
6774424 6774990 15
6775069 6776429 1
6776594 6776950 4
6777061 6780400 19
6780477 6782733 16
6782826 6783014 4
6783122 6785810 1
6785947 6786165 18
6786249 6786916 17
6786976 6787201 34
6787298 6787554 4
6787616 6788050 13
6788158 6789271 17
6789349 6789691 34
6789754 6797665 24
6797743 6798063 7
6798129 6798380 4
6798474 6799413 17
6799510 6800085 13
6800148 6800455 4
6800520 6805944 19
6806006 6806558 2
6806684 6814635 33
6814807 6816740 19
6816837 6817278 6
6817371 6818246 17
6818325 6820490 35
6820567 6821012 2
6821096 6842736 24
6842862 6843222 7
6843323 6856545 24
6856749 6856963 4
6857057 6857520 13
6857582 6858579 3
6858678 6859034 5
6859122 6859453 7
6859517 6859861 4
6859980 6860554 2
6860617 6860922 4
6861022 6861487 15
6861566 6863180 1
6863304 6863649 4
6863754 6864289 13
6864350 6866180 19
6866250 6869347 16
6869495 6869685 34
6869765 6872112 1
6872290 6872479 18
6872594 6872905 7
6873005 6873353 4
6873423 6873604 34
6873698 6874014 4
6874106 6874984 17
6875061 6875459 7
6875533 6875830 4
6875910 6876917 17
6876980 6885188 24
6885278 6885561 4
6885649 6886037 7
6886128 6886398 4
6886487 6887033 7
6887113 6889961 19
6890078 6893510 35
6893609 6894155 7
6894258 6894588 4
6894681 6898209 16
6898209 6901809 1
6901937 6902333 7
6902444 6902657 4
6902718 6908826 19
6908894 6909302 2
6909396 6935058 24
6935204 6935605 7
6935707 6944261 24
6944454 6945354 3
6945455 6945618 5
6945731 6946240 15
6946352 6948097 1
6948251 6950786 19
6950879 6951311 7
6951384 6951679 4
6951768 6954823 16
6954999 6955349 34
6955420 6958700 1
6958700 6959048 4
6959149 6959450 34
6959544 6960326 17
6960433 6962798 19
6962859 6963613 17
6963687 6964204 7
6964320 6964598 4
6964671 6964986 13
6965098 6965431 7
6965515 6965657 18
6965734 6973676 24
6973760 6975976 19
6976087 6976423 2
6976580 6984729 33
6984881 6985370 7
6985473 6985661 4
6985745 6986444 17
6986558 6986890 34
6986975 6987442 7
6987545 6987792 4
6987854 6990348 16
6990410 6990639 34
6990721 6990941 4
6991049 6991584 13
6991664 6992071 2
6992134 7018959 24
7019120 7019592 7
7019681 7027667 24
7027899 7028098 4
7028203 7028697 13
7028793 7029106 4
7029175 7029571 2
7029714 7030059 4
7030161 7030696 7
7030811 7031464 3
7031561 7031848 5
7031933 7032313 15
7032393 7034066 1
7034231 7034802 7
7034921 7035187 4
7035251 7038068 11
7038169 7039713 10
7039786 7042247 16
7042316 7042750 7
7042815 7042980 18
7043089 7043414 4
7043514 7045867 19
7045980 7046296 13
7046368 7046652 4
7046717 7048937 19
7049029 7049218 34
7049288 7050365 17
7050464 7051026 7
7051138 7051473 4
7051573 7052732 17
7052840 7053177 4
7053243 7055212 1
7055278 7063274 24
7063344 7068623 19
7068703 7071974 16
7071974 7075574 1
7075724 7076032 4
7076127 7077314 17
7077420 7077759 34
7077829 7078346 2
7078450 7100932 24
7101056 7101506 7
7101597 7113771 24
7114007 7115007 3
7115073 7115387 5
7115469 7115863 2
7115954 7116185 4
7116253 7116589 7
7116706 7116941 4
7117034 7117515 13
7117592 7117889 4
7117996 7118506 15
7118588 7120286 1
7120445 7120754 14
7120861 7123250 35
7123338 7123810 7
7123885 7124211 4
7124314 7127592 19
7127662 7130341 16
7130518 7130725 34
7130823 7132121 19
7132199 7132634 7
7132708 7133060 4
7133173 7135485 19
7135549 7135892 34
7135953 7136698 17
7136785 7137106 13
7137189 7138808 19
7138914 7142461 1
7142607 7142832 18
7142895 7151821 24
7151897 7155467 19
7155570 7155927 13
7156024 7156670 12
7156743 7160120 35
7160208 7160779 2
7160841 7161224 13
7161297 7166748 19
7166820 7170395 16
7170395 7173995 1
7174066 7174463 2
7174539 7201868 24
7202096 7202375 4
7202446 7202781 2
7202923 7203117 4
7203226 7203795 13
7203857 7204209 4
7204309 7204626 7
7204754 7205541 3
7205607 7205884 5
7205985 7206418 15
7206497 7208017 1
7208190 7208397 4
7208501 7209019 13
7209121 7215497 33
7215561 7218163 16
7218265 7218540 4
7218629 7220507 1
7220639 7220913 34
7220976 7221232 4
7221310 7221871 7
7221971 7222324 4
7222440 7224495 19
7224576 7224917 4
7224993 7225670 17
7225778 7227295 19
7227381 7227608 18
7227691 7235368 24
7235434 7239264 19
7239339 7242541 16
7242541 7246141 1
7246286 7246523 34
7246632 7246893 4
7246980 7248905 35
7249022 7249507 13
7249601 7252369 35
7252429 7252816 2
7252928 7277594 24
7277759 7278078 7
7278139 7278382 4
7278477 7288725 24
7288937 7289148 4
7289221 7289687 7
7289752 7290101 4
7290220 7290736 2
7290814 7291398 13
7291459 7291693 4
7291770 7292687 3
7292765 7292889 5
7293006 7293307 15
7293382 7294634 1
7294808 7295564 17
7295648 7298687 19
7298747 7302060 16
7302136 7304353 19
7304422 7304931 7
7305002 7305249 4
7305334 7306113 17
7306193 7306427 18
7306542 7306888 4
7306950 7309706 1
7309788 7318236 24
7318335 7318809 7
7318896 7325503 19
7325579 7326079 7
7326177 7326458 4
7326541 7331406 19
7331495 7331802 2
7331877 7332420 6
7332593 7340169 33
7340257 7340669 2
7340730 7360405 24
7360551 7360856 7
7360932 7376238 24
7376459 7376815 4
7376921 7378020 3
7378149 7378600 7
7378683 7379028 4
7379092 7379519 13
7379604 7379974 2
7380048 7380399 4
7380473 7380855 15
7380937 7382461 1
7382527 7382973 7
7383065 7383382 4
7383452 7384170 17
7384231 7386915 16
7387008 7387254 4
7387332 7389797 1
7389969 7390166 18
7390275 7392447 19
7392510 7392817 7
7392931 7393326 13
7393425 7395613 19
7395699 7403398 24
7403531 7403739 4
7403822 7404403 7
7404489 7404760 4
7404858 7405164 13
7405244 7406057 17
7406125 7411585 19
7411699 7412384 12
7412462 7413046 7
7413141 7413399 4
7413496 7414313 17
7414418 7421613 19
7421685 7424865 16
7424944 7425257 34
7425343 7426365 17
7426429 7426643 34
7426755 7430355 1
7430418 7430845 2
7430917 7447396 24
7447564 7447898 7
7448009 7466120 24
7466376 7466676 4
7466742 7467334 7
7467415 7467626 4
7467731 7468091 13
7468177 7469040 3
7469107 7469360 5
7469459 7469960 2
7470051 7470272 4
7470374 7470832 15
7470905 7472588 1
7472660 7474645 16
7474802 7475094 34
7475195 7477760 1
7477918 7478263 34
7478372 7478620 4
7478708 7481014 19
7481081 7481954 17
7482062 7482520 7
7482607 7482960 4
7483077 7483631 7
7483742 7484092 4
7484167 7485687 19
7485757 7486069 4
7486189 7487284 17
7487374 7487744 13
7487840 7489657 19
7489734 7489914 18
7489977 7497767 24
7497847 7504382 19
7504491 7507152 16
7507152 7510752 1
7510823 7511307 2
7511422 7530446 24
7530578 7530969 7
7531071 7546397 24
7546602 7546918 4
7546991 7547692 3
7547789 7548095 5
7548173 7548650 2
7548732 7549303 7
7549413 7549768 4
7549861 7550386 13
7550455 7550786 4
7550871 7551194 15
7551314 7552843 1
7552912 7553403 7
7553480 7553778 4
7553869 7556038 35
7556139 7557012 17
7557075 7560658 16
7560762 7561048 4
7561132 7561404 34
7561488 7561836 7
7561932 7562260 4
7562341 7562521 34
7562609 7566186 1
7566186 7566397 4
7566495 7568759 19
7568848 7568976 18
7569052 7576983 24
7577159 7577748 7
7577839 7578149 4
7578213 7581022 19
7581137 7581461 6
7581592 7591733 33
7591841 7592168 4
7592283 7597902 19
7597966 7598458 2
7598523 7623648 24
7623768 7624074 7
7624169 7633286 24
7633466 7634163 3
7634256 7634580 5
7634643 7635242 2
7635370 7635807 7
7635912 7636153 4
7636269 7636622 13
7636700 7636906 4
7637010 7637396 15
7637501 7638971 1
7639148 7639415 4
7639478 7641435 10
7641539 7644201 11
7644282 7647244 16
7647337 7647661 4
7647779 7648277 13
7648364 7648740 7
7648831 7649031 4
7649120 7649383 34
7649499 7649738 4
7649844 7651797 1
7651965 7652151 18
7652230 7653906 19
7653980 7661655 24
7661774 7662262 7
7662373 7662697 4
7662809 7663258 13
7663322 7664375 17
7664448 7664951 7
7665031 7670907 19
7671004 7674262 16
7674262 7677862 1
7678009 7678211 34
7678330 7679062 12
7679122 7682419 19
7682492 7682804 2
7682867 7706704 24
7706876 7707235 7
7707301 7718488 24
7718678 7718965 4
7719053 7719649 2
7719766 7720205 7
7720285 7721418 3
7721529 7721718 5
7721808 7722351 13
7722413 7722613 4
7722678 7723096 15
7723195 7724691 1
7724813 7725066 4
7725183 7725956 17
7726056 7727874 19
7727962 7728615 17
7728697 7729281 14
7729348 7732576 16
7732750 7732971 34
7733032 7735584 1
7735754 7735949 34
7736018 7738149 19
7738253 7738787 13
7738865 7741140 19
7741207 7741615 7
7741717 7742058 4
7742123 7743582 19
7743682 7744219 7
7744312 7744581 4
7744693 7744822 18
7744899 7752722 24
7752787 7759057 19
7759166 7761581 16
7761581 7765181 1
7765305 7765631 34
7765737 7766632 17
7766714 7767358 12
7767456 7767717 4
7767819 7768781 17
7768869 7769256 7
7769345 7769669 2
7769734 7796415 24
7796549 7796993 7
7797077 7797273 4
7797380 7805307 24
7805487 7805717 4
7805779 7806360 2
7806511 7807046 7
7807143 7807337 4
7807446 7807841 13
7807952 7808143 4
7808210 7808813 3
7808924 7809151 5
7809232 7809804 15
7809880 7811233 1
7811387 7811602 4
7811680 7812049 2
7812138 7819210 33
7819283 7822183 16
7822245 7822449 4
7822538 7825078 1
7825251 7825596 34
7825679 7826029 4
7826140 7826493 13
7826580 7834073 24
7834166 7834408 4
7834480 7834878 7
7834992 7835235 4
7835305 7835859 13
7835919 7836272 4
7836380 7837202 17
7837266 7840462 19
7840579 7843196 16
7843196 7846796 1
7846925 7847231 34
7847303 7848018 12
7848124 7849193 17
7849289 7849758 2
7849827 7850399 7
7850515 7850790 4
7850910 7851256 7
7851332 7851676 4
7851795 7852121 13
7852183 7852959 17
7853049 7853585 13
7853666 7856251 19
7856326 7856767 2
7856859 7883029 24
7883151 7883482 7
7883575 7891714 24
7891934 7892694 3
7892777 7893059 5
7893168 7893495 7
7893585 7893789 4
7893907 7894398 2
7894473 7894685 4
7894787 7895221 13
7895314 7895640 4
7895747 7896096 15
7896176 7897736 1
7897908 7898226 13
7898311 7900856 19
7900946 7901539 7
7901658 7901846 4
7901959 7902739 17
7902801 7905670 16
7905748 7905970 4
7906032 7906467 13
7906550 7906860 7
7906967 7907166 4
7907232 7907480 34
7907540 7911045 1
7911187 7911414 34
7911488 7911774 4
7911873 7913678 19
7913757 7922324 24
7922450 7922978 7
7923093 7923406 4
7923503 7924854 17
7924925 7931507 19
7931586 7932044 2
7932122 7932711 7
7932797 7933129 4
7933228 7933686 7
7933764 7934033 4
7934153 7937097 16
7937097 7940697 1
7940848 7941139 4
7941223 7948267 19
7948347 7948882 2
7948971 7964329 24
7964482 7965039 7
7965149 7984224 24
7984449 7985459 3
7985521 7985790 5
7985884 7986358 2
7986468 7986864 7
7986935 7987163 4
7987246 7987733 13
7987827 7988151 4
7988251 7988692 15
7988783 7990315 1
7990384 7992836 16
7992944 7994865 19
7994966 7995218 4
7995317 7998357 1
7998534 7998800 34
7998911 7999117 4
7999234 7999673 13
7999762 8007860 24
8008000 8008412 7
8008511 8008771 4
8008835 8009365 13
8009438 8009721 4
8009814 8010278 7
8010338 8014580 19
8014661 8015092 7
8015190 8015497 4
8015599 8019199 1
8019358 8019717 13
8019781 8019966 34
8020068 8021237 17
8021355 8021553 34
8021645 8022491 12
8022604 8023692 17
8023761 8024290 2
8024404 8026554 35
8026669 8027026 13
8027113 8028194 17
8028272 8028699 2
8028815 8056357 24
8056530 8056927 7
8057008 8057244 4
8057335 8064320 24
8064563 8064790 4
8064881 8065424 7
8065522 8065734 4
8065812 8066409 13
8066490 8066965 2
8067081 8067357 4
8067433 8068546 3
8068659 8068807 5
8068910 8069351 15
8069442 8071060 1
8071185 8071477 4
8071562 8072486 17
8072580 8073129 7
8073228 8073433 4
8073542 8076697 35
8076785 8079398 16
8079499 8081187 19
8081299 8081521 34
8081611 8081962 4
8082041 8085581 1
8085703 8086047 34
8086124 8094840 24
8094962 8095321 7
8095438 8095714 4
8095801 8096326 13
8096442 8096860 7
8096925 8103296 19
8103407 8103960 2
8104051 8104439 13
8104523 8107960 35
8108045 8108555 13
8108626 8111986 35
8112073 8115050 16
8115050 8118650 1
8118727 8119248 2
8119361 8139093 24
8139236 8139670 7
8139765 8154246 24
8154447 8154760 4
8154843 8155440 2
8155524 8155746 4
8155815 8156656 3
8156722 8156981 5
8157077 8157520 7
8157606 8157864 4
8157969 8158388 13
8158449 8158651 4
8158738 8159055 15
8159129 8160509 1
8160634 8160916 4
8160978 8161470 13
8161548 8163692 16
8163771 8165483 19
8165580 8166115 7
8166214 8166500 4
8166563 8168610 1
8168775 8169030 34
8169130 8169424 4
8169485 8169771 34
8169866 8170896 17
8170965 8171312 7
8171374 8171685 4
8171772 8172544 17
8172608 8180697 24
8180851 8181193 7
8181290 8181633 4
8181700 8182261 13
8182321 8182556 4
8182656 8184057 17
8184141 8186316 19
8186428 8187027 13
8187088 8188231 17
8188336 8189119 12
8189194 8189411 4
8189492 8189914 7
8190029 8190230 4
8190318 8193918 1
8194091 8194449 34
8194517 8194800 4
8194873 8199199 19
8199271 8199607 13
8199726 8200720 17
8200830 8201242 2
8201323 8201816 2
8201894 8229335 24
8229473 8229947 7
8230017 8236813 24
8237022 8237790 3
8237876 8238054 5
8238121 8238570 7
8238631 8238928 4
8239044 8239484 2
8239629 8240195 13
8240277 8240531 4
8240633 8240992 15
8241070 8242584 1
8242704 8243237 7
8243309 8243632 4
8243716 8247135 35
8247201 8247663 13
8247732 8249805 16
8249884 8250164 4
8250237 8253054 1
8253230 8253517 34
8253634 8254188 13
8254279 8256110 19
8256187 8257100 17
8257177 8257589 7
8257694 8259429 19
8259514 8267617 24
8267766 8268148 7
8268253 8268522 4
8268636 8269036 13
8269133 8269346 4
8269412 8275566 19
8275667 8276025 2
8276100 8276616 7
8276678 8277004 4
8277082 8280523 19
8280590 8283821 16
8283821 8287421 1
8287484 8288084 2
8288175 8309438 24
8309616 8310012 7
8310104 8323746 24
8323945 8325068 3
8325154 8325307 5
8325389 8325694 7
8325762 8326094 4
8326157 8326611 13
8326681 8326872 4
8326941 8327351 2
8327433 8327679 4
8327782 8328344 15
8328432 8329712 1
8329861 8330208 4
8330287 8331034 17
8331115 8334479 35
8334567 8336974 16
8337066 8337354 4
8337421 8337891 7
8337967 8338324 4
8338399 8341911 1
8342074 8342417 34
8342511 8342843 7
8342923 8343150 4
8343212 8345293 19
8345360 8353966 24
8354046 8354421 7
8354527 8354860 4
8354961 8355391 13
8355492 8356076 7
8356151 8360345 19
8360432 8360977 2
8361042 8361377 13
8361476 8364421 35
8364521 8364843 2
8364955 8365295 4
8365409 8367439 35
8367548 8371148 1
8371305 8371623 34
8371723 8372244 13
8372310 8378296 19
8378377 8378888 2
8379003 8400142 24
8400300 8400806 7
8400925 8414042 24
8414279 8414491 4
8414608 8415024 7
8415134 8415468 4
8415581 8416090 13
8416176 8416445 4
8416540 8417056 2
8417194 8417446 4
8417526 8418698 3
8418763 8418970 5
8419070 8419436 15
8419517 8420743 1
8420878 8421499 17
8421574 8421988 2
8422050 8428131 33
8428196 8430059 16
8430237 8430522 34
8430637 8433585 1
8433659 8442461 24
8442526 8448648 19
8448755 8449081 34
8449195 8449803 12
8449920 8450215 4
8450312 8453007 16
8453007 8456607 1
8456777 8461237 19
8461312 8461680 2
8461795 8489807 24
8489964 8490452 7
8490566 8496772 24
8496963 8497586 3
8497761 8498272 13
8498337 8498558 4
8498643 8498975 2
8499070 8499579 7
8499670 8500001 4
8500099 8500491 15
8500607 8501847 1
8502015 8502339 13
8502440 8504392 19
8504459 8507527 35
8507611 8510349 16
8510464 8511053 7
8511131 8511488 4
8511553 8514000 1
8514158 8514412 34
8514501 8514808 4
8514886 8515163 34
8515272 8515580 4
8515657 8517076 19
8517192 8517606 7
8517681 8525627 24
8525774 8526294 7
8526376 8526707 4
8526789 8527274 13
8527362 8527676 4
8527763 8528704 17
8528784 8533129 19
8533206 8536373 16
8536373 8539973 1
8540106 8546596 19
8546662 8546972 2
8547039 8572277 24
8572423 8572833 7
8572943 8582407 24
8582664 8583634 3
8583753 8583876 5
8583956 8584330 7
8584400 8584750 4
8584815 8585405 2
8585502 8585710 4
8585784 8586192 13
8586286 8586611 4
8586724 8587308 15
8587369 8588846 1
8589019 8589357 13
8589434 8591646 19
8591734 8592113 14
8592231 8594419 35
8594484 8597105 16
8597181 8597539 4
8597650 8598048 7
8598152 8598357 4
8598458 8599040 7
8599109 8599426 4
8599508 8602927 1
8603068 8603257 34
8603362 8603682 4
8603768 8606166 19
8606251 8614583 24
8614761 8615115 7
8615188 8619233 19
8619299 8622559 35
8622657 8623193 7
8623309 8623667 4
8623753 8626953 35
8627053 8627412 7
8627529 8627886 4
8627964 8631432 35
8631544 8631926 13
8632023 8638982 19
8639094 8639904 12
8639987 8640238 4
8640321 8643443 19
8643522 8646332 16
8646332 8649932 1
8649993 8650407 2
8650469 8670947 24
8671160 8671364 4
8671455 8671905 7
8671992 8672843 3
8672926 8673185 5
8673272 8673691 2
8673783 8674061 4
8674160 8674638 13
8674722 8674941 4
8675015 8675614 15
8675684 8677361 1
8677511 8677725 4
8677832 8679884 19
8679945 8682763 16
8682868 8684892 19
8684978 8685555 13
8685647 8686586 17
8686704 8687153 7
8687243 8688271 17
8688384 8688907 7
8689023 8689207 4
8689271 8692611 1
8692687 8700821 24
8700889 8701106 4
8701200 8701750 13
8701838 8706587 19
8706695 8706901 34
8706972 8707245 4
8707352 8712597 19
8712665 8714958 16
8714958 8715228 4
8715307 8715885 2
8715968 8722834 19
8722917 8723392 13
8723477 8729344 19
8729416 8730000 2
8730101 8730526 7
8730626 8730816 4
8730893 8731559 17
8731654 8731946 34
8732020 8735620 1
8735706 8736279 2
8736386 8763923 24
8764122 8765148 3
8765235 8765563 5
8765635 8766064 13
8766117 8766592 7
8766702 8767016 4
8767135 8767438 2
8767525 8767718 4
8767817 8768135 15
8768218 8769722 1
8769809 8772121 16
8772241 8772821 7
8772925 8773268 4
8773345 8773658 34
8773765 8775603 1
8775603 8775834 4
8775913 8776482 13
8776554 8778891 19
8778968 8786422 24
8786524 8786995 7
8787083 8787316 4
8787435 8787870 13
8787936 8793292 19
8793394 8793867 2
8793942 8799290 19
8799399 8799792 13
8799886 8802877 19
8802956 8803452 2
8803563 8804185 17
8804299 8804690 7
8804780 8805015 4
8805113 8808713 1
8808774 8809250 2
8809314 8836419 24
8836570 8837115 7
8837191 8844502 24
8844757 8845117 4
8845199 8845797 2
8845944 8846258 4
8846367 8846805 7
8846931 8847871 3
8847944 8848211 5
8848315 8848818 13
8848924 8849206 4
8849289 8849877 15
8849947 8851304 1
8851436 8851637 4
8851723 8852921 17
8852993 8855716 16
8855803 8856156 4
8856216 8858973 1
8859148 8859432 34
8859492 8859987 13
8860091 8860493 7
8860575 8860757 4
8860874 8862471 19
8862560 8863045 7
8863123 8863446 4
8863520 8871179 24
8871355 8871704 7
8871806 8872110 4
8872172 8872845 17
8872927 8873387 7
8873467 8873823 4
8873940 8874432 13
8874494 8878591 19
8878708 8879179 13
8879287 8882907 19
8882998 8883472 7
8883565 8883749 4
8883822 8884330 13
8884415 8885548 17
8885623 8886355 12
8886445 8886698 4
8886813 8887819 17
8887931 8888284 7
8888353 8888592 4
8888692 8889434 17
8889540 8892307 16
8892307 8895907 1
8895990 8896581 2
8896693 8913370 24
8913507 8913823 7
8913924 8932054 24
8932292 8932475 4
8932592 8932969 7
8933059 8933922 3
8934094 8934511 2
8934618 8934947 4
8935038 8935559 13
8935665 8935897 4
8935980 8936535 15
8936606 8937972 1
8938148 8938450 4
8938539 8938987 14
8939058 8941638 16
8941777 8942085 34
8942203 8942663 7
8942773 8942983 4
8943053 8945237 1
8945237 8945460 4
8945548 8945743 34
8945805 8946939 17
8947022 8949010 19
8949083 8949638 7
8949701 8958526 24
8958607 8959090 7
8959170 8959431 4
8959494 8959960 13
8960031 8960366 7
8960483 8960762 4
8960825 8967088 19
8967203 8967561 13
8967662 8968001 4
8968066 8968570 13
8968633 8975767 19
8975876 8976219 2
8976293 8976716 7
8976802 8977059 4
8977134 8980731 35
8980843 8985808 19
8985892 8988566 16
8988566 8992166 1
8992244 8992734 2
8992818 9017148 24
9017387 9017603 4
9017684 9018116 2
9018284 9018784 13
9018874 9019117 4
9019190 9019744 7
9019860 9020181 4
9020268 9021026 3
9021119 9021361 5
9021433 9021778 15
9021896 9023649 1
9023795 9024111 14
9024180 9026233 35
9026350 9033091 33
9033168 9035230 16
9035328 9036437 17
9036504 9036698 34
9036809 9038708 1
9038792 9046013 24
9046099 9046693 7
9046796 9047121 4
9047191 9054181 19
9054269 9056811 16
9056811 9060411 1
9060535 9060746 34
9060827 9061747 17
9061809 9063922 35
9063984 9064878 17
9064960 9065490 2
9065562 9087182 24
9087328 9087803 7
9087904 9101269 24
9101472 9101685 4
9101765 9102323 7
9102408 9103309 3
9103437 9103898 13
9103994 9104397 2
9104466 9104723 4
9104828 9105408 15
9105507 9107263 1
9107392 9107946 14
9108035 9111514 35
9111615 9112792 17
9112873 9116009 16
9116121 9116323 4
9116429 9119731 1
9119731 9120020 4
9120093 9120289 34
9120353 9120999 17
9121097 9121335 4
9121421 9121934 7
9122051 9122331 4
9122403 9123097 17
9123164 9130742 24
9130802 9131295 7
9131410 9131686 4
9131757 9132355 13
9132440 9133310 17
9133382 9137509 19
9137617 9137943 2
9138029 9138369 4
9138487 9141316 16
9141316 9144916 1
9145049 9145237 34
9145335 9146058 12
9146131 9146454 13
9146524 9152196 19
9152286 9152704 2
9152802 9169752 24
9169904 9170307 7
9170388 9170666 4
9170727 9188095 24
9188309 9188509 4
9188587 9189079 2
9189144 9189685 7
9189768 9190960 3
9191042 9191345 5
9191436 9191769 13
9191870 9192203 4
9192279 9192763 15
9192839 9194249 1
9194400 9194806 14
9194912 9196902 19
9197019 9197592 7
9197658 9197904 4
9198019 9200830 19
9200908 9203337 16
9203398 9203653 4
9203733 9203967 34
9204064 9206846 1
9207016 9207265 34
9207338 9207903 7
9208017 9208262 4
9208357 9208903 13
9208968 9216468 24
9216597 9217159 7
9217249 9217484 4
9217594 9218051 13
9218156 9218653 7
9218754 9219041 4
9219147 9220070 17
9220158 9226620 19
9226689 9229832 16
9229832 9233432 1
9233605 9234168 13
9234248 9236216 35
9236282 9236843 13
9236941 9240559 19
9240628 9241184 2
9241273 9264836 24
9264962 9265370 7
9265439 9276188 24
9276414 9276645 4
9276706 9277008 13
9277056 9277614 7
9277729 9277935 4
9278025 9278326 2
9278406 9278751 4
9278841 9279840 3
9279926 9280142 5
9280205 9280591 15
9280706 9281973 1
9282132 9282396 4
9282505 9283142 17
9283259 9283732 7
9283803 9284154 4
9284239 9286251 19
9286319 9288218 16
9288315 9288663 4
9288726 9289843 17
9289952 9292306 1
9292450 9292700 34
9292766 9293017 4
9293107 9295403 19
9295468 9303196 24
9303350 9303927 13
9304008 9304313 4
9304399 9305731 17
9305834 9306367 7
9306441 9311595 19
9311665 9313951 16
9313951 9317551 1
9317711 9317939 34
9318039 9318759 12
9318848 9321513 35
9321592 9321822 34
9321941 9322316 7
9322395 9322579 4
9322662 9326248 35
9326316 9326811 2
9326914 9351918 24
9352046 9352522 7
9352620 9362638 24
9362877 9363110 4
9363220 9363546 2
9363654 9363844 4
9363920 9364311 7
9364415 9364667 4
9364752 9365309 13
9365384 9366438 3
9366539 9366803 5
9366865 9367432 15
9367501 9369091 1
9369217 9369461 4
9369530 9372644 19
9372719 9375365 16
9375463 9375843 7
9375955 9376260 4
9376366 9378343 1
9378481 9378684 34
9378784 9379270 7
9379355 9379707 4
9379803 9380052 34
9380156 9381114 17
9381180 9383047 19
9383116 9392002 24
9392065 9392436 7
9392518 9399151 19
9399228 9402456 16
9402456 9406056 1
9406218 9406501 34
9406615 9407362 12
9407463 9407794 4
9407906 9410405 35
9410467 9410944 2
9411020 9434539 24
9434698 9435192 7
9435299 9446242 24
9446387 9446821 7
9447069 9447306 4
9447369 9447758 7
9447863 9448090 4
9448196 9448573 13
9448639 9448948 4
9449018 9449372 2
9449512 9449750 4
9449811 9450599 3
9450679 9450881 5
9451001 9451390 15
9451501 9453047 1
9453169 9453473 7
9453584 9453918 4
9453988 9454476 14
9454548 9455724 17
9455810 9459072 19
9459159 9462453 16
9462559 9462741 4
9462814 9465747 1
9465879 9466214 34
9466294 9466644 4
9466730 9467091 7
9467152 9467484 4
9467595 9468462 17
9468543 9477342 24
9477520 9477872 7
9477973 9478183 4
9478252 9478580 13
9478691 9479720 17
9479783 9483377 19
9483442 9483959 2
9484035 9484552 7
9484623 9484874 4
9484965 9485317 13
9485377 9485722 4
9485826 9486156 13
9486263 9493048 19
9493135 9493497 2
9493617 9493876 4
9493980 9497580 1
9497658 9498191 2
9498308 9523653 24
9523803 9524192 7
9524292 9524596 4
9524693 9533874 24
9534116 9534466 4
9534562 9534989 13
9535047 9535503 7
9535564 9535827 4
9535945 9536415 2
9536504 9536791 4
9536852 9537621 3
9537719 9537861 5
9537978 9538523 15
9538603 9540333 1
9540464 9540690 4
9540778 9541817 17
9541925 9544364 35
9544428 9546505 16
9546595 9546864 4
9546929 9550110 1
9550271 9550502 34
9550579 9551564 17
9551667 9552114 13
9552199 9552583 7
9552685 9552996 4
9553060 9553431 7
9553539 9553864 4
9553971 9554304 34
